news_headline,news_firstline,rating,news_article
"Godzilla x Kong: The New Empire review – breezy, forgettable monster sequel","There’s a likable, light-hearted zip to the monster mash follow-up but energy dissipates when we’re stuck with the humans",3,"It was a strange old time when the creature feature mash-up Godzilla vs Kong was released, the first major blockbuster in cinemas since Covid shuttered them all a year prior. Expectations were low, thanks to how rotten the last two Godzilla films had been, but thirst for something, anything, truly escapist was high and the big screen equivalent of a kid smashing his toys together became an unlikely saviour, both commercially and critically.Three years later with normality resuming, there’s arguably less audience demand for another instalment, although the industry could definitely do with another monster hit, the strikes leaving the first few months of 2024 a little weakened. There’s enough easily marketable simplicity to Godzilla x Kong: The New Empire that it should become a swift global hit (the film is tracking to make $135m worldwide in its opening weekend) but, especially in the shadow of the Oscar-winning Godzilla Minus One, there will be predictably diminishing returns for those who venture out. It’s a still fun yet far sloppier outing, a second round that’s less of a win for us and more of a draw.We start out with a truce of sorts. Godzilla remains king, and protector, of the regular world, fighting off creatures of the week when they surface while Kong stays down in the Hollow Earth, the magical other space discovered in the previous film. But their time out is coming to an end, spurred by some dental issues for poor Kong whose infected tooth, and maybe sad sack loneliness too, thrusts him back to humanity. Something greater is also at play, plaguing the dreams of Jia (Kaylee Hottle) who shares a bond with Kong and now lives with her adopted mother (a returning Rebecca Hall), that requires the arch enemies to go from v to x.What made the last film such a success was the director Adam Wingard’s neat modulation of tone, removing the dank portent of Gareth Edwards’s maddeningly self-serious 2014 offering and bringing the fun that Michael Dougherty’s piss-poor sequel failed to deliver. He’s been wisely brought back for more and it’s refreshing to see him keep things light, his film a brash pop of colour at a time when too many tentpoles of this scale get lost in murk (it’s surely the pinkest Godzilla movie to date). But the script, from a team of three, also trying to keep things breezy, is far less effective. Human time is of course never going to be a priority in these films (Wingard even admitted that they would be of even less importance this time around) but dialogue frequently dips from merely perfunctory to actively dreadful. In trying to align itself with Wingard’s zippiness, the script punishes us with quippy banter so astonishingly, embarrassingly unfunny, we find ourselves pleading with Godzilla to silence them all with one of his feet.Hall is ever luminous to watch and deserves every bit of her paycheque for playing Mrs Exposition in the last act but one does miss watching her play a real person, a joy that we haven’t had in a while. Dan Stevens and a returning Brian Tyree Henry are both lumped with the comedy and both struggle to make any of it work, which for a portion of the middle stretch, devoid of crashing and smashing, starts to become a problem. But when we return to the action, it’s hard not to feel an itch being scratched, the basic child-like satisfaction of watching giant monsters square off proving to be just as entertaining as we want it to be. Wingard is again able to choreograph and structure large-scale fights with coherence and logic, especially in the eye-popping final act, taking on a four-way battle and never causing us to zone out (many a Marvel director could do with watching and learning).It’s, obviously, these moments of shock and awe that we come to a Godzilla and Kong movie for but with a two-hour runtime to fill, we start to feel the limitations here more than we should. We’re still supposed to egg the adversaries on for the sake of humanity not secretly hope they might destroy them in the process. If the next chapter ended up being Godzilla Minus People, that wouldn’t be a loss.Godzilla x Kong: The New Empire is out in cinemas on 29 March"
Mary Poppins review – Disney’s entertainment sugar rush possesses thermonuclear brilliance,"Manic, magic, madcap … Julie Andrews is superb in the role of the flying nanny, in a film filled with amazing songs",5,"Brilliant, entrancing, exhausting, and with thermonuclear showtunes from Richard and Robert Sherman, Disney’s hybrid live-action/animation classic from 1964 is now rereleased on home entertainment platforms for its 60th anniversary. And it has a brand-new certificate from the BBFC: upgraded from a U to a PG on account of “discriminatory language” from the eccentric seadog character Admiral Boom, who fires a cannon from his roof shouting “Fight the Hottentots!” (an obsolete term for South Africa’s indigenous Khoekhoe people). However the BBFC is evidently not bothered by the foxhunting scene in which the fox has a cod Irish accent (perhaps because chimney sweep Bert, played by Dick Van Dyke, saves the fox), nor by the cheerful suicide reference made by one of the servants: “Nice spot there by Southwark Bridge, very popular with jumpers!”In an upmarket part of Edwardian London created on almost dreamlike artificial sets in California, the prosperous upper-middle-class Banks family are having problems controlling their high-spirited children, Michael (Matthew Garber) and Jane (Karen Dotrice); this is grumpy banker George Banks (David Tomlinson) and his suffragette wife Winifred (Glynis Johns), who is always whirling around going to votes-for-women marches. Pompous Mr Banks saunters into the action with complacent song The Life I Lead (which melodically owes a tiny bit to With a Little Bit of Luck from the stage show My Fair Lady).And so the magical nanny Mary Poppins wafts miraculously down from the heavens to solve all their problems – and this is the glorious movie debut of Julie Andrews, glowing with health and beauty and confidence. Andrews will always be associated with this superb performance, and of course her later appearance in The Sound of Music, in which she also artlessly cures a family’s woes. I have always preferred Andrews in The Sound of Music, because defying the Nazis is more exciting and worthwhile than wimpishly going on a jolly holiday, and feeding the (verminous) birds at tuppence a bag etc. But no one can doubt the lethal power of Mary Poppins. (Naming Mary’s preferred alcoholic cocktail is always a great film quiz standby.)But when uptight Mr Banks takes the kids to his place of employment and young Michael inadvertently causes the biggest run on a bank since Frank Capra’s It’s a Wonderful Life, this stern paterfamilias loses his position and is forced to consider his whole life and how he has been neglecting his children in favour of work (although happily it’s not a quandary he’s in for very long).It is Mary who introduces the children to the madcap chimney sweep Bert, played by Van Dyke with his notoriously awful cockney accent – which is even more awful considering that Hermione Baddeley is right there, robustly playing the Banks family’s maid Ellen, and giving us a much more convincing London voice. (Actually, Van Dyke’s posh voice as old Mr Dawes is much better.) From the first time I saw this film as a kid, and again now, I have always wondered: are Bert and Mary in love or not? Mary sings to him: “Gentlemen like you are few / Though you’re just a diamond in the rough, Bert / Underneath, your blood is blue / You’d never think of pressing your advantage / Forbearance is the hallmark of your creed / A lady needn’t fear when you are near …” Pressing his “advantage”? A lady not needing to fear? Well, I should hope not, though perhaps poor Bert certainly does have a hopeless platonic thing for Mary, possibly the most romantically unattainable figure in film history. She is also arguably a manic pixie dream nanny, though it’s Bert who is also manic, particularly when he does his interminable Step in Time rooftop knees-up with all the other sweeps.There are lots of genius moments here, and A Spoonful of Sugar and Supercalifragilisticexpialidocious are amazing songs. I have to admit that I find the real brilliance of the film is in the first act and things have wound down by the end, but what an entertainment sugar rush.Sign up to Film WeeklyTake a front seat at the cinema with our weekly email filled with all the latest news and all the movie action that mattersafter newsletter promotion Mary Poppins is in UK cinemas from 29 March, and also screening in select Australian cinemas."
Kung Fu Panda 4 review – Jack Black and Awkwafina in hurricane of slapstick more miss than hit,"The lead pair make a brilliant double act, but the franchise has run out of its signature sweetness and charm",2,"The cuddly kung fu master is back. Jack Black returns as dumpling-loving panda Po, the unlikeliest of lean, mean fightin’ machines. It’s been eight years since Kung Fu Panda 3, and on the evidence here, the delay can’t be put down to KFP4 being a labour of love, the product of animation studio DreamWorks’ A team pouring in enormous amounts of effort. It’s a hurricane of slapstick (some of it in fact very funny) and age-appropriate energetic fight scenes, but lacks the sweetness and charm of the franchise at its best. It failed the wriggle test on my seven-year-old cinema date, who was squirming in her seat around the hour mark.The plot is a bit overfussy for its target audience of small kids, though the scriptwriters have been careful to make it work for newbies – no previous Kung Fu Panda experience necessary. It opens with Po being promoted from his role as Dragon Warrior to spiritual leader of the valley, taking over from his mentor Shifu (Dustin Hoffman – no expense has been spared on the vocal cast). But before he can appoint his successor, Po apprehends Zhen (Awkwafina), a streetwise thieving fox. The two of them make a brilliant double act: Black is adorable, Awkwafina terrific as the cynical wisecracker.Zhen warns Po about a dangerous new villain, the sorceress Chameleon (Viola Davis), who turns out to be pretty unmemorable as far as the franchise’s baddies go (not a patch on Ian McShane or Gary Oldman in the earlier movies). The two biggest giggles in the cinema came from the grownups: first, in a hilarious scene involving bulls in a china shop; then some wry chuckling when Po tries to meditate – his thoughts quickly straying to his tummy: “Inner peace … inner peace … dinner please … dinner with peas.” But the seven-year-old shrugged and said, half heartedly: “The panda is … fun.” Kung Fu Panda 4 is already playing in the US and is in UK and Irish cinemas from 28 March."
"Ryuichi Sakamoto: Opus review – a stark, emotional finale from master musician","In his last weeks of life, the Oscar-winning composer is filmed at the piano by his son. It is an almost wordless paean to a remarkable career",4,"Short of presenting nothing more than music and a blank screen, this documentary about the late Japanese composer-performer Ryuichi Sakamoto’s last appearances is as stark and minimal as a concert film can get. And yet it’s a work suffused with emotional tones and shades, surprisingly not all of them sad even though the subject knew at the time of filming he had mere weeks left before he’d die of cancer.There are moments when director Neo Sora, Sakamoto’s son, turns up the lighting for the more upbeat songs and we can see the master smile, pleased with his own performance, or the composition, or … we know not what, as there is almost no dialogue, no nattering about the life. We had all that in an earlier documentary, Ryuichi Sakamoto: Coda. In Opus it is the music, played by the man himself, that is completely sufficient to the moment and all that remains, with the occasional very human stumbles and missed notes. When he says he needs a break for a while, exhausted by a performance, the strain is painfully visible, audible, practically palpable.Shot in black and white with silvery shades of grey, the camera tends to track slowly or pan leisurely, in sync with the lento to moderato tempi of his playing. Sometimes we focus just on his hands, all the better to appreciate the way he occasionally conducts for himself with his right. Elsewhere, the camera pans up to his face, that shock of white hair, those signature round tortoiseshell spectacles. All the way through, the sound is rich as could be, exquisitely recorded in Sakamoto’s favourite studio.As one might expect given the circumstances, the music selection spans his career – from soundtrack work for The Sheltering Sky, The Last Emperor and Merry Christmas, Mr Lawrence, to adaptations of songs recorded with the electronic trio Yellow Magic Orchestra from the 1970s, and on to cuts from his later collaborations with German musician Alva Noto. The austerity of the film-making affords a rare chance to meditate on his range and the variety of his work as well as the consistency of his voice as a composer. Ryuichi Sakamoto: Opus is in UK cinemas from 29 March."
The Persian Version review – feelgood Iranian-American comedy with edge,A perceptive and candid look at mother-daughter discord drives the boisterous energy of Maryam Keshavarz’s comic crowdpleaser,3,"The only daughter in a family of nine Iranian-American siblings, Leila’s (Layla Mohammadi) relationship with her mother, Shireen (Niousha Noor), was strained even before she got pregnant after a one-night stand with a drag artist. But, Leila learns, the wedge between them has its roots in a family scandal in rural Iran from before she was even born. With its boisterous, excitable energy and highly spiced colour palette, The Persian Version initially comes across as a broadly comic crowd-pleaser: a kind of My Big Fat Iranian Unplanned Pregnancy.But there’s rather more to it than crass cultural stereotype. Maryam Keshavarz’s drama is an astute dissection of mother-daughter discord; it’s perceptive and candid in its insights into the push-pull cultural struggle experienced by second-generation immigrants. And it features an infectiously joyous extended family dance sequence set to Cyndi Lauper’s Girls Just Want to Have Fun. If the final act overdoes it a little with the wackily-ever-after feelgood vibes, Mohammadi’s flippantly acidic to-camera commentary emphasises the sharp edges within the family embrace."
Robot Dreams review – bittersweet buddy movie is one of the best animations in recent years,"A lonely dog buys himself a robot companion and learns to see the world in a joyous new light in Spanish director Pablo Berger’s exquisite, Oscar-nominated film",5,"It’s an almost entirely dialogue-free animation, captured with pleasingly simple, almost naive 2D character design. The warm and disarming storytelling is bolstered by the film’s unassuming use of humour. But come to Robot Dreams well stocked with tissues: Pablo Berger’s exquisite, bittersweet, Oscar-nominated buddy movie about the bond between a dog and a robot matches Spike Jonze’s Her as one of cinema’s most devastating and profound studies of loneliness and the fragility of emotional connections. If any further evidence were needed to support the theory that we are enjoying a new boom time for quality animation, then this is it.The appealingly clean, uncomplicated character design is based on that of the source material, a graphic novel by American author and illustrator Sara Varon. She has made something of a career from exploring odd-couple relationships: one of her other books, Bake Sale, is about the friendship between a cupcake and an aubergine. Another, Chicken and Cat, is playfully referenced in Robot Dreams, namechecked on the buzzer for the apartment below that of Dog.Home for Dog is a modest third-floor apartment in New York’s East Village in the 1980s. It’s a solitary existence: the shelves are full of jigsaw puzzles and the freezer is well stocked with microwave macaroni cheese meals for one. But life in 80s New York City is not designed to be experienced solo. Bathed in the borrowed light from his TV screen, Dog slumps on his sofa and plays Pong against himself. Picking listlessly at his cheesy pasta gloop, he scrolls through the television channels for something to distract himself from the happy couple snuggling in the window across the street. And then he sees it: an advertisement for a robot companion, the Amica 2000. Pretty soon, accompanied by a jaunty, optimistic piano and xylophone ditty, Dog assembles his new flat-packed friend.The bond is instant. Bucket-headed and wide-eyed, Robot approaches the city with a sense of wonder. And through his friend’s hunger for discovery, Dog starts to rediscover New York as a place to be embraced and experienced, rather than watched, wistfully, from his living room window. In a blissful montage set to Earth, Wind & Fire’s September (a recurring musical motif, used to increasingly wrenching effect), the buddies scoff down hotdogs from street vendors, watch an octopus busker bashing drums on the subway, rollerskate together in Central Park. At the end of a fun-packed summer the pair venture to the beach at Coney Island, where Robot flings himself, literally, into the seaside experience.Then disaster strikes. The saltwater short circuits his power bank and Robot is left, immobile, on the beach. Unable to lift his metal bestie, Dog returns the next day with his toolkit, only to discover that the beach has closed for the season and won’t reopen until the following June. Rusting at the edges and exposed to the elements, Robot lies patiently in the sand. When he sleeps, he dreams of reuniting with Dog. The ache of enforced separation is dulled by brief connections – Robot with a family of birds that nest in his armpit; Dog with a cool female Duck, who rides a motor scooter, wears Air Jordans and knows how to fly a kite. But both Robot and Dog are counting the days until they can be reunited again.There’s such tenderness to the storytelling, such empathy and emotional depth, that it broadens the film’s potential audience from kids, who will respond to the cute characters and gentle wit, to adolescents and adults, who will recognise the angst and awkwardness of trying to function alone once again. What is perhaps remarkable is that this is Berger’s first animated film. The multi-award-winning Spanish director was previously best known for Blancanieves, a reimagining of the Snow White story set in 1920s Seville, and Torremolinos 73, a droll comedy about a struggling encyclopedia salesman who stumbles into the world of adult cinema.What Berger has created with Robot Dreams is not just one of the finest animations of recent years; it’s also one of the most persuasive love letters to the city of New York. The time and location are etched in affectionate details into every frame, from the period-specific graffiti to the cultural references (Dog is visited by a trick-or-treating sloth dressed as Freddy Krueger), to the East Village in-jokes (a rented VHS of The Wizard of Oz comes from Kim’s Video, a now fabled video store that was run from the back of an East Village dry cleaners). It’s a city that is vibrantly present in the film’s evocative sound and meticulously captured in the background design. But, as Dog and Robot discover, it fully comes to life when it’s shared."
Late Night With the Devil review – diabolically funny found-footage horror,Australian brothers Cameron and Colin Cairnes deliver satire and shocks in this gleeful sendup of 70s network talkshows,4,"A malign presence lurks in the corner, insidiously leaking poison into our minds; it’s ubiquitous and addictive. Small wonder that genre film-makers have long toyed with the idea that television is inherently evil.Late Night With the Devil, a gleefully wigged-out found-footage horror by Australian brothers Cameron and Colin Cairnes, joins a growing list of films tapping into the dark side of the small screen. It’s a list that includes Hideo Nakata’s Ringu, David Cronenberg’s Videodrome, Tobe Hooper’s Poltergeist and the buzzy forthcoming title from Jane Schoenbrun, I Saw the TV Glow. Unlike most of the other examples however, Late Night… focuses not on the passive consumption of television, but on its creation. The film hints at a Faustian pact that trades dignity, honesty, morality and even human lives to claw a share of the ratings figures. Which, when you think about it, is not so very far-fetched.Smart, cynical and at times devilishly funny, the film delivers a crackle of disruptive static to the demonic possession genre. It takes the form of a long-lost master tape and backstage footage from an ill-fated 1977 Halloween special of Night Owls, a struggling syndicated evening talkshow fronted by host Jack Delroy (a note-perfect David Dastmalchian, all slippery neediness and insincerity). Facing cancellation, Jack and his producer have pulled out all the stops: the fright-night special features a psychic, a cynic and, as the star attraction, a parapsychologist and a demonically possessed 13-year-old girl (an impressively disquieting Ingrid Torelli). The scene is set for a live attempt to commune with the devil. But first, a message from the sponsor…"
Swatantra Veer Savarkar review – biopic of Hindu nationalist is self-defeating call to arms,Politically-inspired biopic of Indian politician who opposed Gandhi’s non-violence is hamstrung by its own lack of action ,2,"Of all the hot takes you expect to see when you go to the cinema, the suggestion that Mahatma Gandhi was overrated is perhaps low down the list. But this Hindi biopic of Hindu nationalist leader Vinayak Damodar Savarkar (directed and co-written by Randeep Hooda, who also stars as Savarkar in a committed and involving performance) argues exactly that, although it’s careful to have Savarkar note: “I don’t hate Gandhi, I hate non-violence.” Okay then. In general, the stance across the nearly three-hour runtime is that, in contrast to the famous maxim, the sword is in fact mightier than the pen, with Savarkar exhorting followers to “get rid of your pen and arm yourselves”.What is odd is that the film doesn’t make more use of its own subject’s principles. Much ink has been spilled over the issue of whether on-screen violence is too glamorous, too appealing– but apparently, the makers of Swatantara Veer Savarkar are unaware of what a powerful weapon cinematic images can be, because in a biopic attempting to eulogise a man they depict as having advocated strongly for violent revolution, they don’t deliver much in the way of action.Where it would have seemed like an open goal, considering this biopic’s political agenda, to make Savarkar into a heroic figure who physically battles his enemies, in fact he spends much the hefty runtime studying law in the UK, having little chats in libraries with figures like Lenin, and, for a long stretch in the second half, suffering in the notorious Cellular Jail where the British tortured political prisoners. Of course, making the guy into a macho commando type when he wasn’t like that in real life would have involved playing fast and loose with the facts – but the film doesn’t seem too bothered about that elsewhere, for example glossing over unsavoury details like his real-life support for Adolf Hitler’s Germany, where Savarkar’s speeches were published approvingly in newspapers. It all adds up to a funny mixture of hagiography and limp film-making, albeit built around a fine central performance. Swatantra Veer Savarkar is in cinemas now."
Irish Wish review – no cliche is left unturned in lamentable Lindsay Lohan romcom,The American star plays a bridesmaid disrupting her best friend’s nuptials somewhere in Ireland. Only the leprechauns are missing,1,"There are no leprechauns in this abysmal romantic comedy. Otherwise, though, pretty much no theme-park Ireland cliche is left unturned in a Lindsay Lohan vehicle, directed by Janeen Damian, that reimagines Irish Catholicism as a twinkly, impish delivery system for magical realist plot devices.Lohan plays Maddie, a book editor who is devastated when her secret crush, dashing author Paul Kennedy (Alexander Vlahos), gets engaged to her best friend, Emma (Elizabeth Tan). Invited to be a bridesmaid at the wedding at the Kennedy stately home somewhere in Ireland, Maddie wishes that she, not Emma, was the lucky bride-to-be. And Saint Brigid, patron saint of headscarves and romantic meddling, overhears. Of course, wishes have a way of backfiring, and amid all the spontaneous outbreaks of Irish dancing and Guinness drinking, Maddie realises that her heart lies elsewhere. On Netflix"
Drive-Away Dolls review – Ethan Coen’s lesbian crime caper gets stuck in first gear,"This gleefully trashy road movie from Coen, co-written with wife Tricia Cooke, veers too close to puerile for comfort",2,"Late 90s and early 00s cinema wasn’t all bad, but it was responsible for a crop of particularly dismal crime flicks. Including pictures such as the now notorious Rancid Aluminium, these were painfully contrived and agonisingly ironic winks to camera, made by film-makers who watched the movies of Tarantino and the Coen brothers and figured, how hard can it be? So it’s disappointing that Ethan Coen’s solo directorial outing (his brother Joel having already ventured out alone with the sombre, stylised The Tragedy of Macbeth) is a 90s throwback that feels closer in tone and quality to his imitators than it does to the Coens’ original work, even at their most flippant and featherlight.An enthusiastically trashy lesbian road movie that Coen co-wrote and collaborated on extensively with his wife, Tricia Cooke, Drive-Away Dolls stars Margaret Qualley as free spirit Jamie, and Geraldine Viswanathan as her uptight friend Marian. The pair embark on a spontaneous road trip in a Dodge Aries that needs to be delivered to Tallahassee. But there’s something unsavoury hidden in the vehicle, and a couple of inept criminals on their tail. The film has a boisterous energy, but it’s puerile, phoney and frequently rather cringe."
